latitude,longitude,brightness,confidence,acq_date,acq_time,frp,detections,persistent,avg_brightness,avg_confidence,total_frp,nearest_site,site_type,distance_km,source_class,risk_score,risk_level
20.95611,72.65849,389.15,85,2026-09-07,59,49.91,1,False,389.15,85.0,49.91,Surat Industrial Site 0160,Industrial Estate,12.573472702815437,High Intensity Fire,40,Low
18.19879,74.03727,312.02,74,2026-09-06,1920,9.65,1,False,312.02,74.0,9.65,Pune Industrial Site 0824,Refinery,18.31473029977863,Other Thermal Anomaly,0,Low
23.47648,77.29968,308.39,76,2026-07-15,572,17.3,1,False,308.39,76.0,17.3,Bhopal Industrial Site 1117,Paper Mill,3.916319336506385,Other Thermal Anomaly,0,Low
23.08039,77.53501,343.47,69,2026-01-31,2368,15.1,1,False,343.47,69.0,15.1,Bhopal Industrial Site 0301,Power Plant,5.970736572848676,Other Thermal Anomaly,0,Low
23.52334,86.42134,318.43,78,2026-08-15,2241,16.86,1,False,318.43,78.0,16.86,Bokaro Industrial Site 0277,Paper Mill,1.7579654156282816,Other Thermal Anomaly,10,Low
22.60685,88.12504,403.34,100,2026-09-01,1619,52.48,8,True,390.66625,97.75,533.79,Kolkata Industrial Site 0147,Paper Mill,0.04565662034650185,Persistent Industrial Source,100,High
18.42394,73.69918,409.85,91,2026-05-20,485,72.81,7,True,389.4175,94.875,563.16,Pune Industrial Site 0008,Thermal Power Plant,0.09188210307541406,Persistent Industrial Source,100,High
23.03902,69.74454,330.31,84,2026-03-20,1257,16.88,4,True,334.195,85.75,64.34,Rajkot Industrial Site 0834,Refinery,104.92097834728467,Persistent Non-Industrial Thermal Source,35,Low
18.42394,73.96697,403.55,96,2026-06-19,1618,25.85,8,True,392.18125,97.25,522.63,Pune Industrial Site 0248,Thermal Power Plant,0.04104760220571867,Persistent Industrial Source,100,High
17.69321,72.81842,338.87,89,2026-01-31,237,18.1,4,True,335.37,88.0,63.91,Pune Industrial Site 0488,Thermal Power Plant,104.17175154246817,Persistent Non-Industrial Thermal Source,35,Low
23.91308,86.84683,388.22,88,2026-09-19,56,58.85,1,False,388.22,88.0,58.85,Asansol Industrial Site 1137,Paper Mill,3.394338549404314,High Intensity Fire,40,Low
21.55317,87.36812,321.61,90,2026-07-07,1363,24.95,4,True,328.3525,90.25,58.41,Kolkata Industrial Site 0003,Cement Plant,105.05897069177827,Persistent Non-Industrial Thermal Source,45,Low
19.88805,75.71487,408.74,99,2026-05-29,709,80.89,8,True,390.43,96.625,491.81,Aurangabad Industrial Site 0380,Industrial Estate,0.021311442144475338,Persistent Industrial Source,100,High
28.46804,77.09321,400.94,93,2026-06-29,446,101.54,8,True,387.09375,95.125,640.09,Faridabad Industrial Site 0230,Industrial Estate,0.020603184064623865,Persistent Industrial Source,100,High
21.15624,79.00005,406.0,98,2026-07-14,1866,56.68,8,True,389.3825,96.25,510.39,Nagpur Industrial Site 0351,Power Plant,0.02511078978907223,Persistent Industrial Source,100,High
20.24344,85.75641,313.6,70,2026-07-15,200,12.77,1,False,313.6,70.0,12.77,Bhubaneswar Industrial Site 0405,Chemical Plant,0.9751824542750334,Other Thermal Anomaly,20,Low
21.53047,81.76163,364.39,88,2026-01-08,1091,23.7,1,False,364.39,88.0,23.7,Raipur Industrial Site 0031,Power Plant,19.961119275979566,High Intensity Fire,30,Low
18.42393,73.69913,374.67,93,2026-05-15,2026,103.87,7,True,389.4175,94.875,563.16,Pune Industrial Site 0008,Thermal Power Plant,0.08879181034211994,Persistent Industrial Source,100,High
