latitude,longitude,land_cover,vegetation_index,ndvi_source
25.759582,85.050512,agriculture,0.312,synthetic_demo
25.625551,84.865372,forest,0.83,synthetic_demo
25.793439,85.113045,industrial,0.198,synthetic_demo
25.728947,84.886036,water,-0.11,synthetic_demo
25.487671,84.833527,industrial,0.173,synthetic_demo
25.840249,85.074267,forest,0.817,synthetic_demo
25.754456,85.160455,forest,0.869,synthetic_demo
25.764426,85.269781,mining,0.064,synthetic_demo
25.501245,85.23056,built_up,0.038,synthetic_demo
25.630154,85.271482,agriculture,0.303,synthetic_demo
25.598319,85.218038,water,-0.009,synthetic_demo
25.820706,85.186782,industrial,0.173,synthetic_demo
25.707546,84.805576,mining,0.069,synthetic_demo
25.779105,85.144356,industrial,0.012,synthetic_demo
25.627366,84.866265,forest,0.573,synthetic_demo
25.540895,84.832267,industrial,0.12,synthetic_demo
25.671834,84.886027,water,0.03,synthetic_demo
25.475527,85.252811,mining,0.06,synthetic_demo
25.781052,85.209117,agriculture,0.543,synthetic_demo
25.702666,85.321825,forest,0.74,synthetic_demo
25.753235,85.338437,forest,0.861,synthetic_demo
25.59181,85.291306,agriculture,0.625,synthetic_demo
25.838279,84.873109,forest,0.62,synthetic_demo
25.807248,85.283111,industrial,0.136,synthetic_demo
25.761353,85.26125,built_up,0.173,synthetic_demo
25.527855,85.279097,agriculture,0.669,synthetic_demo
25.636688,84.883427,mining,0.088,synthetic_demo
25.467522,84.864236,agriculture,0.329,synthetic_demo
25.511716,85.308095,forest,0.745,synthetic_demo
25.72322,84.895605,agriculture,0.55,synthetic_demo
25.747905,85.002742,industrial,0.054,synthetic_demo
25.837004,85.050792,agriculture,0.688,synthetic_demo
25.58033,84.868443,built_up,0.061,synthetic_demo
25.598184,84.811349,industrial,0.182,synthetic_demo
25.637822,85.34675,forest,0.699,synthetic_demo
25.525789,85.282161,mining,0.0,synthetic_demo
25.501969,85.301786,agriculture,0.494,synthetic_demo
25.640282,84.95651,agriculture,0.533,synthetic_demo
25.540764,84.921056,built_up,0.176,synthetic_demo
25.717926,85.034227,agriculture,0.493,synthetic_demo
25.624861,85.049326,industrial,0.019,synthetic_demo
25.783071,84.80308,built_up,0.187,synthetic_demo
25.730106,85.228589,mining,0.085,synthetic_demo
25.574947,85.348167,industrial,0.054,synthetic_demo
25.782904,85.09078,industrial,0.18,synthetic_demo
25.771906,85.013542,built_up,0.042,synthetic_demo
25.604991,85.016014,agriculture,0.294,synthetic_demo
25.565331,84.852842,forest,0.737,synthetic_demo
25.722998,84.946389,agriculture,0.531,synthetic_demo
25.505901,85.076173,built_up,0.112,synthetic_demo
25.529963,85.037516,agriculture,0.668,synthetic_demo
25.452945,85.099769,industrial,0.053,synthetic_demo
25.76477,85.266986,industrial,0.198,synthetic_demo
25.71594,84.923883,agriculture,0.259,synthetic_demo
25.732066,84.815215,mining,0.018,synthetic_demo
25.762292,84.821024,agriculture,0.334,synthetic_demo
25.633566,84.873793,forest,0.578,synthetic_demo
25.677496,85.113766,mining,0.066,synthetic_demo
25.505919,85.244502,forest,0.853,synthetic_demo
25.495812,85.287743,agriculture,0.619,synthetic_demo
25.717361,85.149312,industrial,0.149,synthetic_demo
25.638438,85.021729,built_up,0.021,synthetic_demo
25.676094,84.884983,built_up,0.176,synthetic_demo
25.756,85.02078,built_up,0.091,synthetic_demo
25.703887,84.982828,forest,0.806,synthetic_demo
25.671432,85.278514,agriculture,0.577,synthetic_demo
25.673683,85.067696,industrial,0.036,synthetic_demo
25.57158,84.924408,water,-0.071,synthetic_demo
25.462327,84.958841,industrial,0.185,synthetic_demo
25.624687,84.875059,agriculture,0.368,synthetic_demo
25.535834,85.305222,built_up,0.149,synthetic_demo
25.613411,84.82769,industrial,0.192,synthetic_demo
25.791361,84.807065,forest,0.676,synthetic_demo
25.543576,84.900644,industrial,0.078,synthetic_demo
25.473321,85.245981,agriculture,0.454,synthetic_demo
25.562554,85.087907,water,0.002,synthetic_demo
25.567438,85.144214,agriculture,0.448,synthetic_demo
25.714767,84.996752,water,-0.078,synthetic_demo
25.672813,84.837773,industrial,0.044,synthetic_demo
25.763559,85.270887,forest,0.896,synthetic_demo
25.715725,84.905542,mining,0.134,synthetic_demo
25.612555,84.818183,mining,0.09,synthetic_demo
25.775608,85.114987,forest,0.886,synthetic_demo
25.516789,84.845809,built_up,0.144,synthetic_demo
25.459085,84.852669,mining,0.144,synthetic_demo
25.486019,85.240207,built_up,0.049,synthetic_demo
25.738944,85.070385,agriculture,0.351,synthetic_demo
25.634751,84.93283,industrial,0.177,synthetic_demo
25.514509,84.991745,industrial,0.084,synthetic_demo
25.650418,85.201083,agriculture,0.417,synthetic_demo
25.510925,84.836495,agriculture,0.589,synthetic_demo
25.728528,84.864064,forest,0.771,synthetic_demo
25.628463,85.138944,forest,0.67,synthetic_demo
25.602408,85.133834,forest,0.689,synthetic_demo
25.570605,85.334854,agriculture,0.434,synthetic_demo
25.702113,85.006002,forest,0.594,synthetic_demo
25.594725,84.835793,forest,0.63,synthetic_demo
25.48506,85.095646,industrial,0.108,synthetic_demo
25.497202,85.151091,mining,0.117,synthetic_demo
25.834759,84.876782,agriculture,0.439,synthetic_demo
25.813432,85.104074,industrial,0.077,synthetic_demo
25.729883,84.908772,agriculture,0.543,synthetic_demo
25.556348,85.264602,agriculture,0.321,synthetic_demo
25.837671,85.259339,agriculture,0.421,synthetic_demo
25.7615,85.036296,agriculture,0.344,synthetic_demo
25.736756,85.331709,agriculture,0.543,synthetic_demo
25.629745,85.338876,built_up,0.04,synthetic_demo
25.558897,84.871088,industrial,0.09,synthetic_demo
25.488556,85.002243,forest,0.759,synthetic_demo
25.811041,85.130177,industrial,0.167,synthetic_demo
25.632311,84.846661,agriculture,0.576,synthetic_demo
25.530945,85.010461,agriculture,0.674,synthetic_demo
25.572383,84.943645,built_up,0.142,synthetic_demo
25.681688,85.323628,industrial,0.07,synthetic_demo
25.520709,85.026372,agriculture,0.354,synthetic_demo
25.792646,85.219469,forest,0.57,synthetic_demo
25.753408,85.012688,forest,0.647,synthetic_demo
25.737785,84.872497,built_up,0.045,synthetic_demo
25.622837,85.274733,industrial,0.074,synthetic_demo
25.700924,84.800229,forest,0.796,synthetic_demo
25.683639,84.830767,forest,0.792,synthetic_demo
25.709939,85.000411,built_up,0.077,synthetic_demo
25.483778,85.177794,industrial,0.102,synthetic_demo
25.616323,84.987937,mining,0.033,synthetic_demo
25.466646,84.836472,water,-0.074,synthetic_demo
25.647596,84.974812,built_up,0.112,synthetic_demo
25.581944,84.934739,forest,0.655,synthetic_demo
25.50781,84.802981,built_up,0.067,synthetic_demo
25.491361,85.094141,industrial,0.196,synthetic_demo
25.685058,84.864155,mining,0.081,synthetic_demo
25.518237,84.958123,agriculture,0.503,synthetic_demo
25.820048,85.152654,industrial,0.002,synthetic_demo
25.682424,85.198814,forest,0.614,synthetic_demo
25.588748,84.944901,built_up,0.084,synthetic_demo
25.686366,84.981057,mining,0.145,synthetic_demo
25.459122,84.9358,agriculture,0.329,synthetic_demo
25.833424,85.326289,agriculture,0.386,synthetic_demo
25.642921,84.904786,built_up,0.198,synthetic_demo
25.763094,84.900749,built_up,0.107,synthetic_demo
25.483092,85.044769,built_up,0.077,synthetic_demo
25.644663,84.904118,forest,0.772,synthetic_demo
25.646283,84.88619,agriculture,0.473,synthetic_demo
25.825131,84.852734,mining,0.144,synthetic_demo
25.678691,85.152094,industrial,0.017,synthetic_demo
25.639396,85.136645,forest,0.827,synthetic_demo
25.55679,85.15759,industrial,0.056,synthetic_demo
25.582628,85.225315,agriculture,0.613,synthetic_demo
25.658269,84.979497,built_up,0.173,synthetic_demo
25.625565,85.305133,industrial,0.17,synthetic_demo
25.458645,85.203263,agriculture,0.64,synthetic_demo
25.780517,85.24259,industrial,0.144,synthetic_demo
25.808464,85.196529,mining,0.021,synthetic_demo
25.5061,84.997151,built_up,0.029,synthetic_demo
25.671614,84.955668,agriculture,0.403,synthetic_demo
25.49343,85.032384,built_up,0.109,synthetic_demo
25.718896,84.853367,industrial,0.061,synthetic_demo
25.562494,85.048204,built_up,0.154,synthetic_demo
25.713769,84.823728,built_up,0.15,synthetic_demo
25.740798,84.80217,industrial,0.194,synthetic_demo
25.757459,85.312324,water,-0.1,synthetic_demo
25.493096,85.179135,industrial,0.157,synthetic_demo
25.816405,85.109016,agriculture,0.584,synthetic_demo
25.542086,84.987606,industrial,0.198,synthetic_demo
25.464965,85.113796,built_up,0.159,synthetic_demo
25.671941,85.290367,industrial,0.057,synthetic_demo
25.598369,85.158809,industrial,0.003,synthetic_demo
25.781916,85.131365,agriculture,0.686,synthetic_demo
25.773301,85.053112,water,-0.021,synthetic_demo
25.576856,84.990133,forest,0.834,synthetic_demo
25.83116,85.184201,agriculture,0.607,synthetic_demo
25.566367,85.33954,agriculture,0.581,synthetic_demo
25.656023,85.033617,built_up,0.155,synthetic_demo
25.552386,85.015713,forest,0.875,synthetic_demo
25.824417,85.035462,agriculture,0.661,synthetic_demo
25.515843,85.034049,water,-0.105,synthetic_demo
25.467964,85.344844,forest,0.561,synthetic_demo
25.624039,85.188728,agriculture,0.267,synthetic_demo
25.84695,84.997551,mining,0.067,synthetic_demo
25.806671,85.004326,forest,0.842,synthetic_demo
25.749443,85.036938,forest,0.847,synthetic_demo
25.806317,84.820192,forest,0.692,synthetic_demo
25.807379,85.090299,built_up,0.074,synthetic_demo
25.657543,85.24626,mining,0.076,synthetic_demo
25.576372,85.163312,agriculture,0.625,synthetic_demo
25.758805,84.909131,agriculture,0.536,synthetic_demo
25.714665,85.200419,forest,0.599,synthetic_demo
25.599463,85.195702,industrial,0.072,synthetic_demo
25.487787,84.944397,industrial,0.111,synthetic_demo
25.748716,85.142581,industrial,0.108,synthetic_demo
25.554984,85.136022,industrial,0.166,synthetic_demo
25.824725,85.261883,built_up,0.188,synthetic_demo
25.546388,84.87484,industrial,0.02,synthetic_demo
25.499103,84.907161,industrial,0.045,synthetic_demo
25.782445,85.067283,forest,0.687,synthetic_demo
25.511314,84.82428,forest,0.654,synthetic_demo
25.521707,85.028577,industrial,0.082,synthetic_demo
25.689753,85.23352,industrial,0.008,synthetic_demo
25.799825,84.881793,forest,0.573,synthetic_demo
25.528574,85.052972,agriculture,0.627,synthetic_demo
25.574129,85.344373,built_up,0.038,synthetic_demo
25.760962,85.078256,mining,0.124,synthetic_demo
